platformId,userId,postId,text,timestamp,imagePath,imageEmbedding
a_platform,1,A01_01,One jet lands at an airport while another takes off next to it. Two airplanes parked in an airport. Two jets taxi past each other. Two parked jet airplanes facing opposite directions. two passenger planes on a grassy plain,,data/platform_a/images/user_01/2008_000716.jpg,
a_platform,2,A02_01,A child standing on a dusty street looks at adults with large metal containers. Appears to be a dairy somewhere in a developing country. A small child in a street surrounded by people and large metal urns. A young boy is standing in the street near milk jugs and men in an impoverished country. Small child looking at adults in rundown area.,,data/platform_a/images/user_02/2008_000090.jpg,
a_platform,3,A03_01,A large bird wades in the water while the turtles climb the log. A stork stands on a fallen tree over a pond while three turtles climb out of the water. The long necked bird is perched on a branch with three turtles. Three turtles and an egret are standing on a log in a pond. Three turtles climbing up a log that a bird is sitting on.,,data/platform_a/images/user_03/2008_000095.jpg,
a_platform,4,A04_01,"A family getting ready to go canoe on a small lake. Three people are by the water with yellow canoes Three people preparing to canoe. Two people are carrying a yellow canoe down to the water, while a man in red and black walks away from a canoe already near the water. Two people carrying a canoe into a river while a third person walks out of the picture.",,data/platform_a/images/user_04/2008_000195.jpg,
a_platform,5,A05_01,A small white cat sitting in a sink. A small white cat standing in a sink. A white and grey cat in a bathroom sink looking at the camera. Grey and white cat sitting in bathroom sink. White cat sitting inside of a sink.,,data/platform_a/images/user_05/2008_000112.jpg,
a_platform,6,A06_01,A city bus driving past a building. A red bus picks up new passengers A red trolley bus passing by on the opposite side of a city street. Red bus in front of building. The bus makes the rounds in the quaint town.,,data/platform_a/images/user_06/2008_000032.jpg,
a_platform,7,A07_01,A black car with damage in the back. A black SUV which has been in an rear end collision. Black SUV smashed from behind. The back of the black SUV is crumpled and the rear window is broken. The back of the black SUV is wrecked.,,data/platform_a/images/user_07/2008_000085.jpg,
a_platform,8,A08_01,A black and grey striped cay lying on a comforter looking toward the camera. A cat curled up on a comforter. A tabby cat laying on a bed. Gray domestic cat lying down on comforter. The cat is laying on an animal print blanket.,,data/platform_a/images/user_08/2008_000116.jpg,
a_platform,9,A09_01,"A happy mother dotes on her children. A mom with two children on her lap, a girl looking to the right and a boy looking at the camera. A woman holding two toddlers -: a girl and a boy. A woman with a two children in her lap Mom holding two kids",,data/platform_a/images/user_09/2008_000904.jpg,
a_platform,10,A10_01,Black and white cows behind a fence. Black and white cows grazing in a pen. The black and white cows pause in front of the gate. Two black and white cows behind a metal gate against a partly cloudy blue sky. Two cows in a field grazing near a gate.,,data/platform_a/images/user_10/2008_000335.jpg,
b_platform,1,B01_01,Two gentleman talking in front of propeller plane. Two men are conversing next to a small airplane. Two men talking in front of a plane Two men talking in front of a small plane. Two men talk while standing next to a small passenger plane at an airport.,,data/platform_b/images/user_01/2008_001227.jpg,
b_platform,2,B02_01,A cyclist relaxes on a bench and gazes toward the ocean. Man sits on bench and looks toward ocean with a bike at his side. Person sitting on a bench taking a break from bike riding. Someone sitting on a bench next to a bike looking out over the sea. Woman sitting next to bicycle on a snowy bench facing the ocean.,,data/platform_b/images/user_02/2008_000725.jpg,
b_platform,3,B03_01,A white bird is steering a shopping cart. A white bird pushes a miniature teal shopping cart. A white bird pushing a miniature blue shopping cart. A white parrot walking a small blue shopping cart. Parrot pushing a small shopping cart.,,data/platform_b/images/user_03/2008_001020.jpg,
b_platform,4,B04_01,"A group of river barges with trees in the background. A pier with the word ""Buchanan"" on it in the middle of the water. Barge floating through the water. Empty barge floating down a river. The Buchanan barge floats down the lake.",,data/platform_b/images/user_04/2008_000405.jpg,
b_platform,5,B05_01,"A 4-H booth with posters, television, and three people presenting near a laptop. A presenting being interviewed People pose with a microphone in front of a display. The people are in front of the 4-H display. Vendors work their booth at the trade show.",,data/platform_b/images/user_05/2008_000202.jpg,
b_platform,6,B06_01,"A large white ""Victory Liner"" bus with red and yellow trim is in a parking lot. A side view of a passenger bus. A Victory Liner bus is white with red and gold stripes. A white tour bus with red, orange and yellow stripes. The bus has a red, orange and yellow design on it.",,data/platform_b/images/user_06/2008_000075.jpg,
b_platform,7,B07_01,A white limo is parked on the side of a street. A white limousine decorated for a wedding. A white limo with tinted windows is parked. A white luxury car with a window insignia parked on a street. Long white car parked on the street.,,data/platform_b/images/user_07/2008_000163.jpg,
b_platform,8,B08_01,A car sits by a window with a curtain pulled most of the way across. A cat is on the sill of a window with yellow.curtains A cat with a striped tail crouches on the windowsill. Cat sitting on windowsill. The cat is standing on the window sill looking at the camera.,,data/platform_b/images/user_08/2008_000182.jpg,
b_platform,9,B09_01,A group of women posing for a picture. Three Indian girls dressed up for a gathering. Three women in Indian dresses in a crowded room smiling. Three women with brown hair are smiling Three young ladies from India in a restaurant.,,data/platform_b/images/user_09/2008_000976.jpg,
b_platform,10,B10_01,The large cows hover over the young calf. Three adult cows and one baby cow stand on the grass. Three brown cows and a small calf in a field. Three cows in a green pasture surrounding a baby cow. Three large brown cows stand aver a calf in the pasture.,,data/platform_b/images/user_10/2008_000711.jpg,
